World_cinema,year,Remade_tamil,year_o_r,genre,rating
Roman Holiday,1953,May Madham,1994,"Comedy, Romance",8.0
The Sound of Music,1965,Shanthi Nilayam ,1969,"Biography, Drama, Family",8.0
I girasoli,1970,Roja ,1992,"Drama, War",7.4
Very Bad Things,1998,Panchatantram ,2002,"Comedy, Crime, Thriller",6.4
Derailed,I) (2005,Pachaikili Muthucharam ,2007,"Crime, Drama, Thriller",6.6
Memento,2000,Ghajini ,2005,"Mystery, Thriller",8.4
Mrs. Doubtfire,1993,Avvai Shanmugi ,1996,"Comedy, Drama, Family",7.0
What About Bob?,1991,Thenali ,2000,Comedy,7.0
Tsotsi,2005,Yogi ,2009,"Crime, Drama",7.2
Hardcore,1979,Mahanadi ,1994,"Crime, Drama",7.0
Taken,I) (2008,Virudhagiri ,2010,"Action, Thriller",7.8
Brewster's Millions,1985,Arunachalam,1997,Comedy,6.5
"Planes, Trains & Automobiles",1987,Anbe Sivam ,2003,"Comedy, Drama",7.6
I Am Sam,2001,Deiva Thirumagal ,2011,Drama,7.7
Al di là delle nuvole,1995,Autograph ,2004,"Drama, Romance",6.5
Judgment Night,1993,Saroja ,2008,"Action, Crime, Drama",6.7
Moon Over Parador,1988,Indiran Chandiran ,1990,"Comedy, Romance",6.0
The Corsican Brothers,1941,Neerum Neruppum ,1971,"Adventure, Romance",6.5
The Reincarnation of Peter Proud,1975,Enakkul Oruvan, 198,"Horror, Mystery",6.5
Nine to Five,1980,Magalir Mattum ,1994,Comedy,6.8
Misery,1990,Julie Ganapathi ,2003,"Drama, Thriller",7.8
Two Much,1995,Naam Iruvar Namakku Iruvar ,1998,"Comedy, Romance",5.4
She-Devil,1989,Sathi Leelavathi ,1995,Comedy,5.7
Witness,1985,Soora Samhaaram ,1998,"Crime, Drama, Romance",7.4
Green Card,1990,Nala Damayanthi ,2003,"Comedy, Drama, Romance",6.2
Micki + Maude,1984,Rettai Vaal Kuruvi ,1987,"Comedy, Romance",6.0
Dip huet seung hung,1989,Rishi ,2001,"Action, Crime, Drama",7.8
Red Corner,1997,Dhaam Dhoom ,2008,"Crime, Drama, Thriller",6.3
To Each His Own,1946,Sivagamiyin Selvan ,1974,"Drama, Romance",7.7
The Principal,1987,Nammavar ,1994,"Action, Crime, Drama",6.3
Rage of Angels,1983 TV Movie,Makkal en Pakkam ,1987,"Action, Drama, Adventure",6.1
The Bank Job,2008,Naanayam ,2010,"Crime, Thriller",7.2
One Flew Over the Cuckoo's Nest,1975,Manasukkul Mathappu ,1986,Drama,8.7
Falling Down,1993,Evano Oruvan ,2007,"Action, Crime, Drama",7.6
Changing Lanes,2002,TN-07 AL 4777 ,2009,"Drama, Thriller",6.4
The Parent Trap,1961,Kuzhandaiyum Deivamum ,1965,"Comedy, Family, Romance",7.1
Coming to America,1988,My Dear Marthandan ,1990,"Comedy, Romance",7.0
No Man of Her Own,1950,Nenjil Oru Mul ,1981,"Drama, Film-Noir",7.4
Son-Rise: A Miracle of Love,1979 TV Movie,Anjali ,1990,Drama,7.6
On the Line,2001,Enakku 20 Unakku 18 ,2003,"Comedy, Family, Romance",4.2
There's Something About Mary,1998,Pavalakodi ,2003,"Comedy, Romance",7.1
I Hired a Contract Killer,1990,Bale Pandiya ,2010,"Comedy, Drama, Romance",7.2
A zori zdes tikhie,1972,Peranmai ,2009,"Drama, History, War",8.2
Gau ngao gau,2006,Mynaa ,2010,"Action, Crime, Drama",6.6
Making Mr. Right,1987,Endhiran ,2010,"Comedy, Romance, Sci-Fi",5.4
Kikujirô no natsu,1999,Nandalala ,2010,"Drama, Comedy",7.8
Love in the Afternoon,1957,Engeyum Kaadhal ,2011,"Comedy, Crime, Drama",7.2
Butterflies Are Free,1972,Raja Paarvai ,1981,"Comedy, Drama, Music",7.2
¡Átame!,1989,Guna ,1991,"Comedy, Crime, Drama",7.0
Léon,1994,Suryaparvai ,1999,"Action, Crime, Drama",8.5
Disclosure,1994,Indira Vizha ,2009,"Drama, Thriller",6.1
Shooter,I) (2007,Vaada ,2010,"Action, Drama, Thriller",7.2
The Bachelor,1999,Pammal K. Sambandam ,2002,"Comedy, Romance",5.0
Predator,1987,Asuran ,1995,"Action, Adventure, Sci-Fi",7.8
Sense and Sensibility,1995,Kandukondain Kandukondain ,2000,"Drama, Romance",7.6
Cellular,2004,Vegam ,2007,"Action, Crime, Thriller",6.5
"Yours, Mine and Ours",1968,Mazhalai Pattalam ,1980,"Comedy, Family",7.2
Carlito's Way,1993,Nagaram Marupakkam ,2010,"Crime, Drama, Thriller",7.9
Father of the Bride,1991,Abhiyum Naanum ,2008,"Comedy, Family, Romance",6.5
Ruthless People,1986,Sariyana Jodi ,1989,"Comedy, Crime",6.9
A Little Romance,1979,Panneer Pushpangal ,1981,"Adventure, Comedy, Romance",7.5
Mr. Deeds Goes to Town,1936,Nallathambi ,1949,"Comedy, Drama, Romance",7.9
Romance on the High Seas,1948,Manmadan Ambu ,2010,"Comedy, Musical, Romance",7.0
Strangers on a Train,1951,Muran ,2011,"Crime, Film-Noir, Thriller",8.0
Big,1988,New ,2004,"Comedy, Drama, Fantasy",7.3
Keulraesik,2003,Chikku Bhukku ,2010,"Drama, Romance",7.8
Bangkok Dangerous,2000,Pattiyal,2006,"Action, Crime, Drama",6.6
Urban Legend,1998,Whistle ,2003,"Horror, Mystery, Thriller",5.6
Dial M for Murder,1954,Saavi ,1985,"Crime, Thriller",8.2
The Dirty Dozen,1967,Jai Hind ,1994,"Action, Adventure, War",7.7
3 Men and a Baby,1987,Asathal ,2001,"Comedy, Drama, Family",6.0
Wasabi,2001,Jaggubhai ,2010,"Action, Drama, Comedy",6.7
Captain Blood,1935,Aayirathil Oruvan ,1965,"Action, Adventure",7.7
Guess Who,2005,Kannamoochi Yenada ,2007,"Comedy, Romance",5.9
Alone,I) (2007,Chaarulatha , 201,"Drama, Horror, Thriller",6.5
Here Comes Mr. Jordan,1941,It was remade as Heaven Can Wait ,1978,"Comedy, Fantasy, Romance",7.6
Viva Zapata!,1952,Nadodi Mannan ,Tami,"Biography, Drama, History",7.4
Baby's Day Out,1994,Chutti Kuzhandai ,1995,"Adventure, Comedy, Crime",6.1
The Thomas Crown Affair,1999,Kangalal Kaidhu Sei ,2004,"Crime, Romance, Thriller",6.8
Addicted to Love,1997,Azhagai Irukkirai Bayamai Irukkirathu ,2006,"Comedy, Romance",6.1
Charlie's Angels,2000,Three Roses ,2003,"Action, Adventure, Comedy",5.5
